Name,Latitude,Longitude,Available Bikes
北八王子駅,35.6697467,139.3634538,10
湯の森　深大湯,35.677585,139.5465907,7
池之端2丁目 上野動物公園西​,35.7149569,139.7673938,2
ビイルーム自由が丘,35.6007174,139.6652037,4
ローソン　板橋東坂下一丁目店,35.782192,139.690197,4
アイパーク駐車場 世田谷代田南口第1,35.657983,139.6610332,5
セブンイレブン　世田谷上野毛駅前店,35.611597,139.638191,2
セブンイレブン　板橋坂下1丁目店,35.7794529,139.6878469,5
ウインガーデン,35.7577511,139.6830337,2
ファミリーマート　国分寺光町店,35.707418,139.442415,3
ファミリーマート　東水元二丁目店,35.776809,139.871164,2
中村橋資材置き場,35.740331,139.638777,2
リバーサイド立川,35.690905,139.394862,4
UR賃貸住宅 エステート西台,35.771614,139.669253,4
小平市役所,35.729044,139.477904,3
栗山公園(小金井市),35.697675,139.521003,4
NeoStyle立石,35.74044,139.84674,4
たづくり緑地,35.6512658,139.5407536,12
SANパーク 下北沢4,35.658527,139.6679188,3
新柴又高架下第2自転車駐車場,35.7518618,139.8810075,0
セブンイレブン　墨田菊川1丁目店,35.69019513,139.8018682,6
Flat Share SHIN-OTSUKA Campus,35.725357,139.734402,0
徳殿公園,35.7267201,139.6587369,4
コインパーク中野中央,35.701792,139.666208,0
西武多摩湖線 青梅街道駅,35.7311837,139.4766779,14
ファミリーマート　高島平一丁目店,35.781671,139.665837,2
イトーヨーカドー 大森店,35.587148,139.733185,6
廻田町1丁目 第2仲よし広場,35.757289,139.455352,5
錦町１－５－４,35.697547,139.4180851,14
TOKYO Guu・東京寓,35.7606492,139.7583712,0
ファミリーマート　調布成城富士見橋店,35.647015,139.592041,3
東京電力　練馬事務所,35.7365403,139.6461603,3
ローソン　板橋赤塚新町一丁目店,35.769036,139.646022,2
長島桑川コミュニティ会館,35.666163,139.877717,1
＆AND HOSTEL ASAKUSA KAPPABASHI,35.712128043533,139.78784391272,0
Brillia City 石神井公園 ATLAS （東側）,35.734302,139.598541,4
シナネンHDグループ本社ビル,35.6203075,139.746597,6
ソリチュード府中,35.685725,139.456256,1
メルディア北加平,35.7858346,139.8309267,3
図書喫茶カンタカ,35.778291,139.478951,1
いなげや武蔵野桜堤店,35.706738,139.536164,1
Node国立,35.698430266463,139.43238853436,4
セブンイレブン　世田谷若林4丁目店,35.646262,139.659848,6
セブンイレブン　蓮沼アスリート通り店,35.769684,139.706257,5
ファミリーマート　西伊興四丁目店,35.804345,139.780772,4
パディフィールド成増,35.7779596,139.6353165,1
コマツハイツ,35.6843629,139.6596612,5
コインパーク平河町2丁目第2,35.680885,139.741794,2
Old  Trafford,35.764142662282,139.80349950907,6
黒鐘公園,35.691203,139.467264,0
ガリシア下丸子RIVER SIDE,35.564109,139.6884,13
AZEST下落合,35.7140978,139.6916432,5
板橋区立稲荷台第2児童遊園,35.7620106,139.7126966,4
アイル秋葉原NORTH弐番館,35.703839,139.7783991,0
東急バス　下馬営業所,35.638084,139.683637,4
ファミリーマート　杉並松ノ木一丁目店,35.688536,139.641413,2
宇田川駐車場,35.7902,139.857041,7
落川市営住宅,35.641503,139.439238,3
西大泉こぐれ公園,35.7624429,139.5796925,5
成瀬くりの家保育園,35.5487152,139.4726888,2
京成サイクルパーク八広駅高架下,35.72756,139.82857,14
三鷹台児童遊園,35.6913189,139.5846898,2
ウィズ調布ガーデン,35.649157,139.539191,2
UR 山崎団地,35.5747699,139.4331007,2
トヨタモビリティ東京　代田橋店,35.6776703,139.6577243,2
ホテルヒカリ,35.72865,139.799756,5
auroradue,35.699470264241,139.80627078528,1
共育プラザ南小岩,35.720975,139.88592,4
バイクパーク上目黒1丁目,35.6457275,139.6979072,1
河内公園,35.659024,139.433117,5
せいせき公園,35.653328,139.446235,3
ファミリーマート　板橋舟渡三丁目店,35.793523,139.68536,5
アザーレ・プラネ金井ヶ丘,35.5807655,139.4747635,4
学田公園,35.7302701,139.6487936,1
松原公園,35.642024904464,139.41156829423,12
多摩ニュータウン落合住宅,35.6137223,139.4296313,1
柴崎東自転車駐車場,35.6546873,139.5674523,4
ローソン　細田三丁目店,35.74067,139.870612,2
ライフパーキング花小金井南町,35.7248317,139.5157594,5
椿公園,35.645820360471,139.30035205422,2
ルグラン,35.72382,139.82958,5
アストリア,35.6997236,139.4929449,2
UR賃貸住宅 芦花公園,35.66923866,139.6069416,0
ファミリーマート　赤羽北三丁目店,35.779269,139.705588,6
桜美林大学　ひなたやまキャンパス,35.5694433,139.4380243,18
牡丹３丁目,35.668282,139.80114,27
platinum,35.7647532,139.8431445,1
セブンイレブン　墨田亀沢1丁目店,35.697128,139.799661,0
美住公園,35.754585,139.463415,2
ビイルーム高円寺,35.7068016,139.6493894,1
快活CLUB 東村山店,35.763216,139.468096,3
恋ヶ窪公民館,35.707904,139.464156,3
セブンイレブン　府中押立町4丁目店,35.655284,139.517298,3
BON東京浅草,35.70805967,139.7992345,2
打越土入公園,35.645059923727,139.34980324364,2
Flat Share KITAIKEBUKURO Port,35.742573,139.717092,4
狛江市あいとぴあセンター健康福祉会館,35.6330833,139.5683086,4
快活CLUB 東久留米滝山店,35.744746,139.503425,3
八王子みなみ野駅前 片柳学園寮,35.632714,139.329078,9
千住寿町用地,35.7519484,139.7986607,0
三鷹市民センター,35.6832717,139.5587244,7
フルール松原Ａ,35.6659979,139.644781,3
清川1号公園,35.671296588268,139.31165420804,0
小田急クローゼット千歳船橋,35.6468058,139.6214471,0
上水新町地域センター,35.725353,139.439003,1
CITY STAGE CUREⅡ,35.73626,139.658519,4
イトーピア岩本町1丁目ビル,35.6923811,139.7781669,2
多摩市立総合体育館,35.643265,139.436684,5
豊田駅南第３駐輪場,35.66122,139.385961,2
中久保図書館  ,35.7546323,139.3833173,3
プラス春日神社前第1,35.693062,139.609796,3
リフュージュ・オー・フォレストⅢ,35.681302,139.64258,3
デニーズ 本一色店,35.717279,139.874989,3
NPC24H立花4丁目,35.710088,139.830152,3
メゾンフォーレ,35.702321,139.603328,1
手打ち中華　孫市,35.7017634,139.4557547,1
UR立川一番町東,35.732967529907,139.37579125731,3
セブンイレブン　府中栄町3丁目店,35.688843,139.474735,5
竹の塚第6公園,35.7918886,139.7954293,6
TOKYO β 上井草2,35.729814,139.607187,5
いなげやina21国分寺西恋ヶ窪店,35.7044398,139.4630734,7
とりで公園,35.680397,139.556447,7
ネコサポステーション町田木曽,35.567550774448,139.43485972383,4
城南信用金庫 大岡山支店,35.605912600298,139.68524515629,2
船森公園,35.658720169425,139.34206993232,0
神田駿河台下（神保町駅付近）,35.695790875135,139.76154220668,2
